% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
0.25,3118832.7580537805
0.255,3129490.581652745
0.26,3139826.4991003894
0.265,3149856.8121839557
0.27,3159596.913937322
0.275,3169061.336469476
0.28,3178263.7945983894
0.28500000000000003,3187217.227088946
0.29000000000000004,3195933.834041972
0.295,3204425.1110527827
0.3,3212701.881077705
0.305,3220774.32429286
0.31,3228652.0058372337
0.315,3236343.9014728293
0.32,3243858.4214224136
0.325,3251203.4326529964
0.33,3258386.2797485325
0.335,3265413.8044428467
0.34,3272292.3638990703
0.34500000000000003,3279027.8478505686
0.35000000000000003,3285625.694712211
0.35500000000000004,3292090.906744072
0.36,3298428.0643329825
0.365,3304641.339454842
0.37,3310734.5083807306
0.375,3316710.9636845114
0.38,3322573.725601463
0.385,3328325.45278139
0.39,3333968.452476305
0.395,3339504.6901998064
0.4,3344935.7988919253
0.405,3350263.0876195035
0.41000000000000003,3355487.549838976
0.41500000000000004,3360609.8712460473
0.42000000000000004,3365630.437234341
0.425,3370549.339982974
0.43,3375366.385190857
0.435,3380081.0984736714
0.44,3384692.731437662
0.445,3389200.267442964
0.45,3393602.4270675983
0.455,3397897.6732820165
0.46,3402084.2163427453
0.465,3406160.0184125328
0.47000000000000003,3410122.7979133152
0.47500000000000003,3413970.033617417
0.48000000000000004,3417698.9684812156
0.485,3421306.613224896
0.49,3424789.749660844
0.495,3428144.9337725528
0.5,3431368.4985451447
0.505,3434456.556547866
0.51,3437405.002268162
0.515,3440209.514196389
0.52,3442865.5566594047
0.525,3445368.381400724
0.53,3447713.02890431
0.535,3449894.3294582427
0.54,3451906.9039541217
0.545,3453745.164417202
0.55,3455403.3142617065
0.555,3456875.3482649797
0.56,3465382.4036099776
0.5650000000000001,3467882.772474824
0.5700000000000001,3470334.8842925583
0.5750000000000001,3472740.5039007515
0.5800000000000001,3475101.1058159224
0.585,3477418.0415354767
0.59,3479692.622244103
0.595,3481926.1415769043
0.6,3484119.8756272434
0.605,3486275.079208544
0.61,3488392.9837607816
